sha;hex-8;package;category;summary;description;files;num. files;num. lines changed
0827b13febe0ab4b68be4fcb8240af97c6e2e5a7;0827b13f;library;navekf3;Fix default behaviour for height origin corrections;"Fix default behaviour for height origin corrections

Previous default was to apply in-flight height origin changes to local position instead of to reported origin height. This caused problems with copters that took off before getting GPS lock.";['libraries/AP_NavEKF3/AP_NavEKF3_Outputs.cpp', 'libraries/AP_NavEKF3/AP_NavEKF3.cpp'];2;10
027552ef44731a847712e1d108854cec18e48640;027552ef;library;navekf2;Fix default behaviour for height origin corrections;"Fix default behaviour for height origin corrections

Previous default was to apply in-flight height origin changes to local position instead of to reported origin height. This caused problems with copters that took off before getting GPS lock.";['libraries/AP_NavEKF2/AP_NavEKF2.cpp', 'libraries/AP_NavEKF2/AP_NavEKF2_Outputs.cpp'];2;12
993df82cfab8b255e7a2afee3f1f0aa7a9e6c4bd;993df82c;rover;rover;Fix bad parameter generation for AP_MotorUGV;Fix bad parameter generation for AP_MotorUGV;['APMrover2/Parameters.cpp'];1;2
603e903ccdd8748f8a6a7783e97f451fdd2e3121;603e903c;library;compass;QMC5883 Add internal i2c bus and fix rotation error;QMC5883 Add internal i2c bus and fix rotation error;['libraries/AP_Compass/AP_Compass_QMC5883L.h', 'libraries/AP_Compass/AP_Compass_QMC5883L.cpp', 'libraries/AP_Compass/AP_Compass.cpp'];3;33
cb1b9b667437f1f00626c3df6d93633c845688c2;cb1b9b66;library;gps;Fix SBF race condition on start;"Fix SBF race condition on start

Unsure what the underlying problem is, but the length of the first string in
the initilisation_blob increasing resulted in a race condition, waiting
longer before retrying the message resolves it, but we still need to identify
the underlying problem. This patch just results in the GPS working with current
configurations. Tested against AsteRx-M firmware 3.6.3";['libraries/AP_GPS/AP_GPS_SBF.cpp'];1;3
20889ff8a956ce7cae6ab512b06a0023715075d8;20889ff8;library;apmotors6dof;Add motor reverse parameters for motors 9-12;"Add motor reverse parameters for motors 9-12

Fix overruns found in coverity 145496-99";['libraries/AP_Motors/AP_Motors6DOF.cpp', 'libraries/AP_Motors/AP_Motors6DOF.h'];2;32
bd2ba1565c41572c32b05d687916f0af1da32a73;bd2ba156;library;ac_wpnav;minor format fix;minor format fix;['libraries/AC_WPNav/AC_WPNav.cpp'];1;4
ba8664193acae83a2de5533080658ae65c9bd9aa;ba866419;rover;rover;fix failsafe throttle;fix failsafe throttle;['APMrover2/Steering.cpp'];1;10
6615aee0b15d863e9d57451764b7a0d140a02087;6615aee0;sub;sub;fix wrong GCS_MAVLink fallthrough;"fix wrong GCS_MAVLink fallthrough

Coverity CID 142270";['ArduSub/GCS_Mavlink.cpp'];1;1
9cb672e85e97ecc964ffa9133f04d99841c69323;9cb672e8;library;srv_channel;added doc values for dspoilers;"added doc values for dspoilers

and fix missing Motor9 to Motor12 values";['libraries/SRV_Channel/SRV_Channel.cpp'];1;2
1fc85e9a8c4e6750c67f6cb274f941df64a8f29e;1fc85e9a;rover;rover;adjust skid steer motor mixing, fix rotation direction in reverse;"adjust skid steer motor mixing, fix rotation direction in reverse

balanced prioritisation of throttle vs steering when motors become saturated
direction of turning made consistent with normal (ie non-skid-steered) vehicles

Also includes fixes to motor mixing after peer review";['APMrover2/Steering.cpp'];1;46
0203b4c1b1978a41a708f2a70866957fd0f18ad3;0203b4c1;library;notify;RCOutputRGBLed: remove cork();"RCOutputRGBLed: remove cork()

cork()/push() will be called in the vehicle code.

The issue that led to this fix was as follows:
- on a Linux board (Navio 2) usage of this class didn't yield any PWM on
  the expected outputs on Rover (Copter and Plane worked as expected)

After dicsussion at #6339 rover code was changed (541538f) to use make
proper use of SRV_Channels API.

This fix is also the consequence of the discussion. TL^^DR: the output is
only done when commanded by the vehicle.";['libraries/AP_Notify/RCOutputRGBLed.cpp'];1;7
6c2bfe08cd5ed4edc437cc4f93f4624a155ffbcc;6c2bfe08;library;tracker;move send-logs-via-mavlink code into DataFlash;"move send-logs-via-mavlink code into DataFlash

Also, fix log download";['AntennaTracker/GCS_Mavlink.cpp'];1;8
60c6f8ad6088a6de974ff96d4e766824f5d1ad6f;60c6f8ad;library;gps;fix bug when injecting messages bigger than 255 bytes;"fix bug when injecting messages bigger than 255 bytes

Commit 5261654 changed the used injection method so change this method signature to use uint16 for message length like previous injection method did";['libraries/AP_GPS/AP_GPS.cpp', 'libraries/AP_GPS/AP_GPS.h'];2;8
9d0fa09d395e384aebd641536df9e18bee14bd3b;9d0fa09d;library;navekf3;Fix calculation of predicted LOS rate in terrain estimator;Fix calculation of predicted LOS rate in terrain estimator;['libraries/AP_NavEKF3/AP_NavEKF3_OptFlowFusion.cpp'];1;4
c69c5440a0378bb48b856a2f25e52f73c9f4530e;c69c5440;library;navekf2;Fix calculation of predicted LOS rate in terrain estimator;Fix calculation of predicted LOS rate in terrain estimator;['libraries/AP_NavEKF2/AP_NavEKF2_OptFlowFusion.cpp'];1;4
4394c5145bb7143cb5b012ac478d05ef2b818fab;4394c514;library;hal_sitl;Fixes bug with uartF.;"Fixes bug with uartF.

uartF _timer_tick() was not being called in the scheduler.";['libraries/AP_HAL_SITL/Scheduler.cpp', 'libraries/AP_HAL_SITL/SITL_State.h'];2;3
ee28e49790c8a5bcd2cfb1f64789bd9c7513ee2f;ee28e497;rover;rover;steering mark floats as float and fix parenthesis;steering mark floats as float and fix parenthesis;['APMrover2/Steering.cpp'];1;16
32dc59baec012e2ed348aea94650e086abed6aa3;32dc59ba;rover;rover;fix throttle slew limit for skid steer out;fix throttle slew limit for skid steer out;['APMrover2/Rover.h', 'APMrover2/Steering.cpp', 'APMrover2/system.cpp'];3;31
2a9eceaf1017f2853490e48cb0573545cb4791f2;2a9eceaf;library;navekf3;Fix bugs causing height drift when using range beacons;Fix bugs causing height drift when using range beacons;['libraries/AP_NavEKF3/AP_NavEKF3_RngBcnFusion.cpp', 'libraries/AP_NavEKF3/AP_NavEKF3_Measurements.cpp'];2;45
f29951c2bf5019ab9de433e8c167bb3e099ca9ce;f29951c2;copter;copter;fix autotune accel max not being used until reboot;"fix autotune accel max not being used until reboot

Once autotune completes successfully, the discovered acceleration maximums should be used if the pilot tests the tune";['ArduCopter/control_autotune.cpp'];1;3
356a405e2df3b49aebe7260291d3563846788917;356a405e;copter;copter;autotune minor format fix;autotune minor format fix;['ArduCopter/control_autotune.cpp'];1;2
bd0229b7bce518defd3d2394648e070226a1450c;bd0229b7;library;gps;Fix bug in calculation of blended GPS delay;Fix bug in calculation of blended GPS delay;['libraries/AP_GPS/AP_GPS.cpp'];1;2
06d40a7901cc91c17a162518ca227b7ab36ff6b8;06d40a79;library;navekf3;Fix terrain estimator innovation consistency check;Fix terrain estimator innovation consistency check;['libraries/AP_NavEKF3/AP_NavEKF3_OptFlowFusion.cpp'];1;5
ce8e935896fc709b0cff82ef661788ecc53f2917;ce8e9358;library;navekf2;Fix terrain estimator innovation consistency check;Fix terrain estimator innovation consistency check;['libraries/AP_NavEKF2/AP_NavEKF2_OptFlowFusion.cpp'];1;5
284fc0f3c5bb8d22c143fe7d55ea6b9aaea6b878;284fc0f3;library;navekf3;Fix bug in flow fusion for terrain estimation;"Fix bug in flow fusion for terrain estimation

Also remove unused class variables";['libraries/AP_NavEKF3/AP_NavEKF3_OptFlowFusion.cpp', 'libraries/AP_NavEKF3/AP_NavEKF3_core.h'];2;6
b7e6e6f95fc9989f5a7b6086d76041813a235091;b7e6e6f9;library;navekf2;Fix bug in flow fusion for terrain estimation;"Fix bug in flow fusion for terrain estimation

Also remove unused class variables";['libraries/AP_NavEKF2/AP_NavEKF2_core.h', 'libraries/AP_NavEKF2/AP_NavEKF2_OptFlowFusion.cpp'];2;6
92cdb541769dc47f6f9d8e920de3672a7f917c9c;92cdb541;plane;plane;Fix a fly away when aborting a landing;"Fix a fly away when aborting a landing

DO_LAND_START -> LAND waypoints in sequence would cause a perpetual abort state
due to the sticky nature of the abort states. If we restart a landing on
purpose while doing an abort, then we can move onto trying to land again.";['ArduPlane/commands_logic.cpp'];1;5
6a01c6519708f3072c9192f6c438f25e3da459ce;6a01c651;library;navekf3;Fix long description of EK3_OGN_HGT_MASK parameter (NFC);Fix long description of EK3_OGN_HGT_MASK parameter (NFC);['libraries/AP_NavEKF3/AP_NavEKF3.cpp'];1;5
7426bdb9b72d9bd5ff04f878d858bc9f3880c17b;7426bdb9;library;navekf2;Fix long description of EK2_OGN_HGT_MASK parameter;Fix long description of EK2_OGN_HGT_MASK parameter;['libraries/AP_NavEKF2/AP_NavEKF2.cpp'];1;5
a199604348db88903221a09df98214e57dfc2b4e;a1996043;library;beacon;fix get_boundary_points num_points;"fix get_boundary_points num_points

Thanks @OXINARF for finding this!";['libraries/AP_Beacon/AP_Beacon.cpp'];1;2
0cba133a1ed4a1c06d09ef5511439e6f174d7f1d;0cba133a;library;navekf3;Fix initialisation of state inhibit flags;Fix initialisation of state inhibit flags;['libraries/AP_NavEKF3/AP_NavEKF3_core.cpp'];1;2
36e7dfb5f66542caeff2ae75bd7b8b32de0f222c;36e7dfb5;library;navekf2;Improve GPS reference height estimator;"Improve GPS reference height estimator

Fix rounding error bug preventing state from updating after initial convergence.
Decouple GPS reference height from published EKf origin height.
Add bitmask parameter to control update and publishing of GPS reference height.";['libraries/AP_NavEKF2/AP_NavEKF2.h', 'libraries/AP_NavEKF2/AP_NavEKF2_Control.cpp', 'libraries/AP_NavEKF2/AP_NavEKF2_core.h', 'libraries/AP_NavEKF2/AP_NavEKF2_Measurements.cpp', 'libraries/AP_NavEKF2/AP_NavEKF2.cpp', 'libraries/AP_NavEKF2/AP_NavEKF2_Outputs.cpp', 'libraries/AP_NavEKF2/AP_NavEKF2_core.cpp', 'libraries/AP_NavEKF2/AP_NavEKF2_PosVelFusion.cpp'];8;65
9da3caca476b5f768b643a6a1f1590d7914354e1;9da3caca;library;navekf3;Improve GPS reference height estimator;"Improve GPS reference height estimator

Fix rounding error bug preventing state from updating after initial convergence.
Decouple GPS reference height from published EKf origin height.
Add bitmask parameter to control update and publishing of GPS reference height.";['libraries/AP_NavEKF3/AP_NavEKF3_Outputs.cpp', 'libraries/AP_NavEKF3/AP_NavEKF3.h', 'libraries/AP_NavEKF3/AP_NavEKF3_core.h', 'libraries/AP_NavEKF3/AP_NavEKF3.cpp', 'libraries/AP_NavEKF3/AP_NavEKF3_core.cpp', 'libraries/AP_NavEKF3/AP_NavEKF3_PosVelFusion.cpp', 'libraries/AP_NavEKF3/AP_NavEKF3_Measurements.cpp', 'libraries/AP_NavEKF3/AP_NavEKF3_Control.cpp'];8;63
e7a5dd6a6948d117ee498cbd68d967b8190116f7;e7a5dd6a;library;marvelmind;fix warning in example;fix warning in example;['libraries/AP_Beacon/examples/AP_Marvelmind_test/AP_Marvelmind_test.cpp'];1;11
5d0972f589a67cd6604e7561a99e8e46c82a8c49;5d0972f5;plane;plane;fix implicit cast to double warning in quadplane;fix implicit cast to double warning in quadplane;['ArduPlane/quadplane.cpp'];1;2
914bc53100bf22d71062cca71e1467d4d486956f;914bc531;library;dataflash;fix shadowing of logstructure in SITL;fix shadowing of logstructure in SITL;['libraries/DataFlash/DataFlash.h', 'libraries/DataFlash/DataFlash.cpp'];2;32
3bcc410048dad57c987b33871aa20d2980cb49b6;3bcc4100;library;beacon;fix pozyx west-east processing;fix pozyx west-east processing;['libraries/AP_Beacon/AP_Beacon_Pozyx.cpp'];1;4
3534d0a0ebd448e12d85ce4b1ea041a6882c7b66;3534d0a0;library;landing;Fix missing doc for LAND_TYPE;Fix missing doc for LAND_TYPE;['libraries/AP_Landing/AP_Landing.cpp'];1;2
51fa76d971eee3f843be88f525501cdecdb76e8d;51fa76d9;sub;sub;fixed startup order of setting mavlink system ID;"fixed startup order of setting mavlink system ID

Set sysid from param before you init the serial port so you always output the intended sysid. Ported the same fix as https://github.com/ArduPilot/ardupilot/commit/c01a7718c140b51cb10cbd0010876ec8744636c5";['ArduSub/system.cpp'];1;6
f6b3c00b194df8917b61864272c1246ad1f2de44;f6b3c00b;library;soaring;Fix initialisers in SoaringController. In-line method to get altitude in Variometer.;Fix initialisers in SoaringController. In-line method to get altitude in Variometer.;['libraries/AP_Soaring/AP_Soaring.cpp', 'libraries/AP_Soaring/Variometer.cpp', 'libraries/AP_Soaring/Variometer.h'];3;20
3e2b5269a6e2fd81b6482d4abb617565ff26277e;3e2b5269;library;terrain;fix Coverity issue 91367;"fix Coverity issue 91367

Also converts to using the get_relative_position_D_home() functions rather then attempting to derive home itself";['libraries/AP_Terrain/TerrainIO.cpp', 'libraries/AP_Terrain/AP_Terrain.cpp'];2;24
87c076da4dcab57e5b480857881ea493888fcc9b;87c076da;plane;plane;Fix missing break in GCS_MAVLink;"Fix missing break in GCS_MAVLink

Was causing AOA_SSA to send a landing message as wel";['ArduPlane/GCS_Mavlink.cpp'];1;1
1985dcd3668a05bd8f95c5afd10027e046184910;1985dcd3;library;navekf2;Fix bug in declination fusion;Fix bug in declination fusion;['libraries/AP_NavEKF2/AP_NavEKF2_MagFusion.cpp'];1;2
478fb60a5bb5c3e067b759fda75b2f18c5953898;478fb60a;library;hal;BeagleBone Blue fix HMC5843 I2C bus number;BeagleBone Blue fix HMC5843 I2C bus number;['libraries/AP_HAL/board/linux.h'];1;2
a3cb6a42c91b3fa772762ecec50ec26bb6ec8ff5;a3cb6a42;library;boardconfig;drop target temperature for cube to 45;"drop target temperature for cube to 45

getting to 60 was taking far too long (15 minutes or so). 45 is more
achievable.

This is a result of the fix to the invensense temperature detection
code";['libraries/AP_BoardConfig/px4_drivers.cpp'];1;4
a0c5ac1949347541d41f21d805db8141ecdf86e7;a0c5ac19;copter;copter;fix compassmot for oneshot ESCs;fix compassmot for oneshot ESCs;['ArduCopter/compassmot.cpp'];1;2
010665f9153472a28ef072e20b402196a2b5368e;010665f9;copter;copter;fix esc calibration for one-shot;"fix esc calibration for one-shot

the cork and push need to be done from the vehicle level";['ArduCopter/esc_calibration.cpp'];1;6
ca8ae06bba85f39e4d9b1b464395100204299b60;ca8ae06b;copter;copter;minor format fix to landing-gear update function;minor format fix to landing-gear update function;['ArduCopter/landing_gear.cpp'];1;2
aaa26af3f41de2263b467e74b4b1df739bb120e3;aaa26af3;rover;rover;Fix constructor initialization order;Fix constructor initialization order;['APMrover2/Rover.cpp'];1;2
436d0f8c846f3fcbce8be15903e72000c681a560;436d0f8c;copter;copter;radio fix passthrough range on heli/coax/single;radio fix passthrough range on heli/coax/single;['ArduCopter/radio.cpp'];1;2
888cd8e31c8fa5c31f2d5788b6781f157627b16e;888cd8e3;sub;sub;Fix fs_pilot_timeout parameter metadata;Fix fs_pilot_timeout parameter metadata;['ArduSub/Parameters.cpp'];1;2
d58a05644406dc536aeb1dd88559336408ca00ae;d58a0564;sub;sub;Fix ekf failsafe parameter metadata;Fix ekf failsafe parameter metadata;['ArduSub/Parameters.cpp'];1;2
0e7f12049caa0b41d84bd87865ba1b4300e6e41f;0e7f1204;copter;copter;fix esc calibration is safety switch has been disabled;fix esc calibration is safety switch has been disabled;['ArduCopter/esc_calibration.cpp'];1;8
a3450a955d23ff743f5c55fa17bc7fad3d4b89cf;a3450a95;copter;copter;fix LED notify during auto esc calibration;fix LED notify during auto esc calibration;['ArduCopter/Copter.h', 'ArduCopter/esc_calibration.cpp'];2;34
